"POS","Stress","Word","Definition","Subtype","unredup word?","unredup definition","Type of redup","Dim. shifted C?","epenthesis/deletion?","Notes"
"N",1,"wɨx̣áwx̣a","little feet, paw","body part","wɨ́x̣á","foot, leg, paw","dim, dist",,"loss of ɨ",
"N",2,"X̣ališx̣áliš","Little Wolf","personal name","x̣áliš","wolf","dim",,,"Personal name"
"N",2,"xalixáli","canyon wren","bird",,,,,,
"N",1,"x̣átx̣at","duck","bird",,,,,,
"N",1,"xawit̓álxawit̓al","April or May",,"xawit̓ál","June","dim",,,"xawí to ripen, of roots, berries"
"N",1,"x̣áx̣a","maternal aunt",,,,,,,"maybe accidental"
"N",2,"x̣ɨlix̣ɨ́li","tipi canvas, blue striped",,"x̣ɨ́li","striped","dist",,,"keeps barred I"
"A",1,"x̣ɨlíx̣ɨli","striped with two or more stripes",,"x̣ɨ́li","striped","dist",,,"note stress location"
"N",1,"x̣míinx̣miin","cantaloupe",,,,,,,
"A",2,"x̣mx̣ɨ́m","crunchy, crumbly",,,,,,,"loss of barred I"
"N",2,"x̣px̣ɨ́p","cottonwood, La Grande OR","plant",,,,,,
"N",1,"xúlxul","generic fish, small salmon, minnows","fish","x̣úun","large scale sucker","dim",,,
"N",1,"x̣úpx̣up","Canadian lynx","animal",,,,,,
"N",1,"x̣úx̣ux̣","raven","bird",,,,,,"note simplification of geminate x̣"
"V",1,"xʷíitxʷiitn","keep whistling",,"xʷíitn","to whistle","iterative",,,
"N",1,"x̣ʷɨ́łx̣ʷł","meadowlark","bird","x̣ʷɨ́łn","to slip off, come loose",,,"loss of barred I","reduplicated maybe unrelated to unredup verb"
"V",1,"x̣ʷnáx̣ʷnann","gallop around",,"x̣ʷínn","gallop around",,,,"various similar words not exact"
"A",2,"x̣ʷšx̣ʷɨ́š","stretchy",,,,,,"loss of barred I",
"N",1,"yáya","older brother",,,,,,,"maybe accidental"
"N",1,"yítyit","American kestrel","bird",,,,,,
"N",2,"yulyúl","mountain bluebird","bird",,,,,,
"V",1,"yúuyuun","call, holler, shout, yell",,,,,,,
"V",2,"yux̣yúx̣","gargle, rinse mouth",,,,,,,"Stress not given in Uma entry. Taken from Yakama cognate which means unstable"
